,Author,Journal,Year,Paper,Editor,City,Edition,Isbn,Dni,Age,Pages,EditorDni,EditorAge
0,Joachim Biskup,UPC journal,2020,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Patrick Cousot,Barcelona,edition 2020 UPC journal,57495309,72843999,45,17,97637508,43
1,Carol Critchlow,UPC journal,2018,Pattern Matching in Trees and Nets.,Jürgen Nehmer,London,edition 2018 UPC journal,145235217,72481328,84,17,56284034,35
2,Prakash Panangaden,UPC journal,2018,Pattern Matching in Trees and Nets.,Jürgen Nehmer,London,edition 2018 UPC journal,145235217,68684078,46,17,56284034,35
3,Don Pigozzi,UPC journal,2020,NP-complete Problems Simplified on Tree Schemas.,Jürgen Nehmer,Madrid,edition 2020 UPC journal,135910835,93433842,75,20,56284034,35
4,Gary T. Leavens,UPC journal,2020,NP-complete Problems Simplified on Tree Schemas.,Jürgen Nehmer,Madrid,edition 2020 UPC journal,135910835,79505929,64,20,56284034,35
5,Christian Lengauer,IEEE Journal,2017,On the Power of Chain Rules in Context Free Grammars.,Jürgen Nehmer,Madrid,edition 2017 IEEE Journal,73271884,72315637,22,15,56284034,35
6,Sergei Gorlatch,IEEE Journal,2017,On the Power of Chain Rules in Context Free Grammars.,Jürgen Nehmer,Madrid,edition 2017 IEEE Journal,73271884,51350064,71,15,56284034,35
7,Dana Angluin,UPC journal,2016,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Isi Mitrani,Balaguer,edition 2016 UPC journal,186045003,82047619,30,4,80247201,80
8,Timothy A. Budd,UPC journal,2016,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Isi Mitrani,Balaguer,edition 2016 UPC journal,186045003,60969472,61,4,80247201,80
9,Robin Milner,IEEE Journal,2021,A characterization of rational D0L power series.,Jürgen Nehmer,Madrid,edition 2021 IEEE Journal,71230645,91032560,35,7,56284034,35
10,Stefan Reisch,IEEE Journal,2021,The Derivation of Systolic Implementations of Programs.,Patrick Cousot,Balaguer,edition 2021 IEEE Journal,123627685,89128554,87,5,97637508,43
11,Dana Angluin,IEEE Journal,2015,Fifo Nets Without Order Deadlock.,Joseph M. Morris,Barcelona,edition 2015 IEEE Journal,178038311,82047619,30,6,81114767,88
12,Timothy A. Budd,IEEE Journal,2015,Fifo Nets Without Order Deadlock.,Joseph M. Morris,Barcelona,edition 2015 IEEE Journal,178038311,60969472,61,6,81114767,88
13,Antonella Santone,UPC journal,2017,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Isi Mitrani,Lleida,edition 2017 UPC journal,113687519,86242940,41,6,80247201,80
14,Ivan Hal Sudborough,UPC journal,2020,Equational weighted tree transformations.,Isi Mitrani,Madrid,edition 2020 UPC journal,93555451,78194087,38,7,80247201,80
15,Michael Evangelist,UPC journal,2020,Equational weighted tree transformations.,Isi Mitrani,Madrid,edition 2020 UPC journal,93555451,66169771,39,7,80247201,80
16,Moon-Jung Chung,UPC journal,2020,Equational weighted tree transformations.,Isi Mitrani,Madrid,edition 2020 UPC journal,93555451,69124777,20,7,80247201,80
17,Luke Hunsberger,UPC journal,2019,Merged processes: a new condensed representation of Petri net behaviour.,Isi Mitrani,London,edition 2019 UPC journal,54364875,67979383,70,4,80247201,80
18,John Darlington,IEEE Journal,2015,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Isi Mitrani,Lleida,edition 2015 IEEE Journal,64235178,78506884,60,12,80247201,80
19,Roland Meyer,IEEE Journal,2017,A Three-Stage Construction for Multiconnection Networks.,Isi Mitrani,London,edition 2017 IEEE Journal,84871251,57710748,30,14,80247201,80
20,Christian Lengauer,IEEE Journal,2015,The Expressive Power of Delay Operators in SCCS.,Patrick Cousot,Balaguer,edition 2015 IEEE Journal,90637051,72315637,22,9,97637508,43
21,Sergei Gorlatch,IEEE Journal,2015,The Expressive Power of Delay Operators in SCCS.,Patrick Cousot,Balaguer,edition 2015 IEEE Journal,90637051,51350064,71,9,97637508,43
22,George Rahonis,IEEE Journal,2019,Calculi for Interaction.,Patrick Cousot,Madrid,edition 2019 IEEE Journal,117012769,93600207,24,12,97637508,43
23,Symeon Bozapalidis,IEEE Journal,2019,Calculi for Interaction.,Patrick Cousot,Madrid,edition 2019 IEEE Journal,117012769,68094213,31,12,97637508,43
24,Zoltán Fülöp 0001,IEEE Journal,2019,Calculi for Interaction.,Patrick Cousot,Madrid,edition 2019 IEEE Journal,117012769,88959194,68,12,97637508,43
25,Alain Finkel,IEEE Journal,2017,A Synthesis of Several Sorting Algorithms.,Joseph M. Morris,Madrid,edition 2017 IEEE Journal,104351683,58297519,81,11,81114767,88
26,Annie Choquet,IEEE Journal,2017,A Synthesis of Several Sorting Algorithms.,Joseph M. Morris,Madrid,edition 2017 IEEE Journal,104351683,60355329,58,11,81114767,88
27,Isi Mitrani,IEEE Journal,2018,A Workload Model Representative of Static and Dynamic Characteristics.,Patrick Cousot,Barcelona,edition 2018 IEEE Journal,125262856,80247201,80,20,97637508,43
28,J. H. Hine,IEEE Journal,2018,A Workload Model Representative of Static and Dynamic Characteristics.,Patrick Cousot,Barcelona,edition 2018 IEEE Journal,125262856,57312791,53,20,97637508,43
29,Karel Culik II,UPC journal,2018,Gray visiting Motzkins.,Joseph M. Morris,Madrid,edition 2018 UPC journal,172388786,67018336,70,14,81114767,88
30,Simant Dube,UPC journal,2018,Gray visiting Motzkins.,Joseph M. Morris,Madrid,edition 2018 UPC journal,172388786,52039236,20,14,81114767,88
31,Dana Angluin,IEEE Journal,2018,Trace- and failure-based semantics for responsiveness.,Joseph M. Morris,Barcelona,edition 2018 IEEE Journal,127581943,82047619,30,10,81114767,88
32,Timothy A. Budd,IEEE Journal,2018,Trace- and failure-based semantics for responsiveness.,Joseph M. Morris,Barcelona,edition 2018 IEEE Journal,127581943,60969472,61,10,81114767,88
33,Sanjeev Saxena,UPC journal,2016,Branching Processes in the Analysis of the Heights of Trees.,Jürgen Nehmer,London,edition 2016 UPC journal,102226811,58371471,47,20,56284034,35
34,David A. Watt,IEEE Journal,2017,Least Upper Bound on the Cost of Optimum Binary Search Trees.,Isi Mitrani,Balaguer,edition 2017 IEEE Journal,146877152,53293914,48,6,80247201,80
35,David Pager,IEEE Journal,2017,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Patrick Cousot,London,edition 2017 IEEE Journal,178823615,63824613,75,16,97637508,43
36,Joachim Biskup,IEEE Journal,2019,"Invariants, Composition, and Substitution.",Joseph M. Morris,Balaguer,edition 2019 IEEE Journal,107781448,72843999,45,11,81114767,88
37,Robin Milner,IEEE Journal,2015,Maximum Entropy and the ,Patrick Cousot,Balaguer,edition 2015 IEEE Journal,136502311,91032560,35,15,97637508,43
38,Sanjeev Saxena,UPC journal,2016,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,Jürgen Nehmer,Lleida,edition 2016 UPC journal,191413587,58371471,47,15,56284034,35
39,Karel Culik II,UPC journal,2015,A theory of structural stationarity in the ,Isi Mitrani,Madrid,edition 2015 UPC journal,168420332,67018336,70,16,80247201,80
40,Simant Dube,UPC journal,2015,A theory of structural stationarity in the ,Isi Mitrani,Madrid,edition 2015 UPC journal,168420332,52039236,20,16,80247201,80
41,Ivan Hal Sudborough,UPC journal,2020,Hex ist PSPACE-vollständig.,Jürgen Nehmer,Lleida,edition 2020 UPC journal,141757788,78194087,38,17,56284034,35
42,Michael Evangelist,UPC journal,2020,Hex ist PSPACE-vollständig.,Jürgen Nehmer,Lleida,edition 2020 UPC journal,141757788,66169771,39,17,56284034,35
43,Moon-Jung Chung,UPC journal,2020,Hex ist PSPACE-vollständig.,Jürgen Nehmer,Lleida,edition 2020 UPC journal,141757788,69124777,20,17,56284034,35
44,Joachim Biskup,UPC journal,2017,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,Isi Mitrani,Barcelona,edition 2017 UPC journal,180925301,72843999,45,8,80247201,80
45,Joachim Biskup,IEEE Journal,2020,Disjunctivity and other properties of sets of pseudo-bordered words.,Patrick Cousot,Barcelona,edition 2020 IEEE Journal,58793914,72843999,45,16,97637508,43
46,Yijie Han,UPC journal,2015,Relational structures model of concurrency.,Isi Mitrani,London,edition 2015 UPC journal,105572254,79509702,40,18,80247201,80
47,Yoshihide Igarashi,UPC journal,2015,Relational structures model of concurrency.,Isi Mitrani,London,edition 2015 UPC journal,105572254,71378547,28,18,80247201,80
48,Karel Culik II,UPC journal,2018,On an Equivalence between Continuation and Stack Semantics.,Joseph M. Morris,Madrid,edition 2018 UPC journal,136735298,67018336,70,9,81114767,88
49,Simant Dube,UPC journal,2018,On an Equivalence between Continuation and Stack Semantics.,Joseph M. Morris,Madrid,edition 2018 UPC journal,136735298,52039236,20,9,81114767,88
50,Alan Fekete,IEEE Journal,2021,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,Isi Mitrani,London,edition 2021 IEEE Journal,149469660,72758685,27,8,80247201,80
51,John K. Lee,IEEE Journal,2021,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,Isi Mitrani,London,edition 2021 IEEE Journal,149469660,58599931,20,8,80247201,80
52,Roland Meyer,UPC journal,2017,A Note on the Density of Inherently Ambiguous Context-free Languages.,Isi Mitrani,Balaguer,edition 2017 UPC journal,195767291,57710748,30,5,80247201,80
53,Walter J. Savitch,IEEE Journal,2017,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Jürgen Nehmer,Madrid,edition 2017 IEEE Journal,138070863,62099997,65,5,56284034,35
54,Ernst W. Mayr,IEEE Journal,2018,Computational Algorithms for Networks of Queues with Rejection Blocking.,Isi Mitrani,London,edition 2018 IEEE Journal,141235699,89122952,57,11,80247201,80
55,Norbert Blum,UPC journal,2019,Compositional Refinements in Multiple Blackboard Systems.,Joseph M. Morris,London,edition 2019 UPC journal,79166822,96067160,71,9,81114767,88
56,Carol Critchlow,IEEE Journal,2018,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",Joseph M. Morris,London,edition 2018 IEEE Journal,141021756,72481328,84,8,81114767,88
