,Author,Conference,Year,Paper,Editor,City,Edition,Isbn,Dni,Age,Pages,EditorDni,EditorAge
0,Arnold Schönhage,UDL conference,2018,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Karl Meinke,Madrid,edition 2018 UDL conference,76619126,95850559,27,18,88387790,61
1,Sanjeev Saxena,MAXsat conference,2018,Bounded Quantification and Relations Recognizable by Finite Automata.,Walter J. Savitch,Balaguer,edition 2018 MAXsat conference,150940159,97939121,65,11,88959047,39
2,Nathan Goodman,MAXsat conference,2018,A Complete Algebraic Characterization of Behavioral Subtyping.,Walter J. Savitch,London,edition 2018 MAXsat conference,99334239,81428395,76,14,88959047,39
3,Oded Shmueli,MAXsat conference,2018,A Complete Algebraic Characterization of Behavioral Subtyping.,Walter J. Savitch,London,edition 2018 MAXsat conference,99334239,69705216,89,14,88959047,39
4,Nathan Goodman,MAXsat conference,2021,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Walter J. Savitch,Madrid,edition 2021 MAXsat conference,191044035,81428395,76,14,88959047,39
5,Oded Shmueli,MAXsat conference,2021,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Walter J. Savitch,Madrid,edition 2021 MAXsat conference,191044035,69705216,89,14,88959047,39
6,Juha Honkala,MAXsat conference,2020,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Delphine Longuet,Balaguer,edition 2020 MAXsat conference,186838171,84300194,83,16,60571715,37
7,Norbert Blum,MAXsat conference,2015,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,George Leih,London,edition 2015 MAXsat conference,121324957,94826399,33,11,49259883,59
8,Hans Ulrich Simon,UDL conference,2015,Instruction sequence processing operators.,Walter J. Savitch,London,edition 2015 UDL conference,127401838,57240839,33,13,88959047,39
9,Juha Honkala,UDL conference,2017,What is Failure? An Approach to Constructive Negation.,George Leih,Madrid,edition 2017 UDL conference,80937123,84300194,83,17,49259883,59
10,Hans Ulrich Simon,UDL conference,2017,STG decomposition strategies in combination with unfolding.,Delphine Longuet,Balaguer,edition 2017 UDL conference,79149401,57240839,33,7,60571715,37
11,Norbert Blum,UDL conference,2019,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Delphine Longuet,Balaguer,edition 2019 UDL conference,154400150,94826399,33,15,60571715,37
12,Juha Honkala,UDL conference,2021,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,George Leih,Lleida,edition 2021 UDL conference,128322922,84300194,83,14,49259883,59
13,Juha Honkala,MAXsat conference,2016,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Delphine Longuet,Lleida,edition 2016 MAXsat conference,167061819,84300194,83,12,60571715,37
14,Arnold Schönhage,UDL conference,2018,Probabilistic bisimulation for realistic schedulers.,Karl Meinke,London,edition 2018 UDL conference,175391587,95850559,27,18,88387790,61
15,Juha Honkala,UDL conference,2018,Explaining the Wheel Sieve.,Walter J. Savitch,Barcelona,edition 2018 UDL conference,176399372,84300194,83,14,88959047,39
16,Nathan Goodman,UDL conference,2016,Another Polynomial Homomorphism.,Walter J. Savitch,Balaguer,edition 2016 UDL conference,197004276,81428395,76,17,88959047,39
17,Oded Shmueli,UDL conference,2016,Another Polynomial Homomorphism.,Walter J. Savitch,Balaguer,edition 2016 UDL conference,197004276,69705216,89,17,88959047,39
18,Hans Ulrich Simon,UDL conference,2019,Variance Reduction Techniques for the Simulation of Markov Process.,Delphine Longuet,Barcelona,edition 2019 UDL conference,108164260,57240839,33,11,60571715,37
19,Sanjeev Saxena,UDL conference,2016,State complexity of deletion and bipolar deletion.,George Leih,Madrid,edition 2016 UDL conference,76422747,97939121,65,9,49259883,59
20,Norbert Blum,UDL conference,2018,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,George Leih,Madrid,edition 2018 UDL conference,147911533,94826399,33,18,49259883,59
