,Author,Conference,Year,Paper,Editor,City,Edition,Isbn,Dni,Age,Pages,EditorDni,EditorAge
0,Juha Honkala,UDL conference,2020,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Karl Meinke,Lleida,edition 2020 UDL conference,178365514,50032042,81,17,85590747,25
1,Juha Honkala,MAXsat conference,2018,Bounded Quantification and Relations Recognizable by Finite Automata.,Delphine Longuet,Madrid,edition 2018 MAXsat conference,146113300,50032042,81,9,48557724,22
2,Sanjeev Saxena,UDL conference,2018,A Complete Algebraic Characterization of Behavioral Subtyping.,George Leih,Balaguer,edition 2018 UDL conference,192257843,73769451,86,8,69110874,74
3,Norbert Blum,UDL conference,2019,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Karl Meinke,Madrid,edition 2019 UDL conference,128710965,72489441,72,10,85590747,25
4,Nathan Goodman,UDL conference,2017,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Delphine Longuet,Madrid,edition 2017 UDL conference,91880200,86790355,73,19,48557724,22
5,Oded Shmueli,UDL conference,2017,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Delphine Longuet,Madrid,edition 2017 UDL conference,91880200,97522900,50,19,48557724,22
6,Sanjeev Saxena,UDL conference,2021,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Walter J. Savitch,London,edition 2021 UDL conference,183849341,73769451,86,13,79312258,50
7,Nathan Goodman,MAXsat conference,2021,Instruction sequence processing operators.,Walter J. Savitch,Lleida,edition 2021 MAXsat conference,132184020,86790355,73,12,79312258,50
8,Oded Shmueli,MAXsat conference,2021,Instruction sequence processing operators.,Walter J. Savitch,Lleida,edition 2021 MAXsat conference,132184020,97522900,50,12,79312258,50
9,Juha Honkala,MAXsat conference,2021,What is Failure? An Approach to Constructive Negation.,George Leih,Madrid,edition 2021 MAXsat conference,121595089,50032042,81,4,69110874,74
10,Sanjeev Saxena,UDL conference,2018,STG decomposition strategies in combination with unfolding.,Delphine Longuet,Balaguer,edition 2018 UDL conference,57075737,73769451,86,10,48557724,22
11,Juha Honkala,MAXsat conference,2016,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Walter J. Savitch,London,edition 2016 MAXsat conference,81715829,50032042,81,20,79312258,50
12,Arnold Schönhage,UDL conference,2015,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Delphine Longuet,Balaguer,edition 2015 UDL conference,161764714,68877725,74,9,48557724,22
13,Norbert Blum,MAXsat conference,2017,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,George Leih,Balaguer,edition 2017 MAXsat conference,138042750,72489441,72,16,69110874,74
