,Author,Journal,Year,Paper,Editor,City,Edition,Isbn,Dni,Age,Pages,EditorDni,EditorAge
0,Vincent Vajnovszki,UPC journal,2017,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Isi Mitrani,London,edition 2017 UPC journal,118121365,75048545,60,8,76856704,33
1,Christian Ronse,IEEE Journal,2018,Pattern Matching in Trees and Nets.,Patrick Cousot,Balaguer,edition 2018 IEEE Journal,181184554,67209609,87,20,93036875,47
2,Vincent Vajnovszki,IEEE Journal,2018,NP-complete Problems Simplified on Tree Schemas.,Joseph M. Morris,Balaguer,edition 2018 IEEE Journal,48936527,75048545,60,9,57042839,75
3,Demetres D. Kouvatsos,UPC journal,2019,On the Power of Chain Rules in Context Free Grammars.,Isi Mitrani,Balaguer,edition 2019 UPC journal,73935485,85030806,27,13,76856704,33
4,Carol Critchlow,IEEE Journal,2018,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Isi Mitrani,Barcelona,edition 2018 IEEE Journal,147027743,62883164,49,16,76856704,33
5,Prakash Panangaden,IEEE Journal,2018,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Isi Mitrani,Barcelona,edition 2018 IEEE Journal,147027743,94455053,48,16,76856704,33
6,Luc Devroye,UPC journal,2015,A characterization of rational D0L power series.,Joseph M. Morris,Madrid,edition 2015 UPC journal,103444560,48555905,34,8,57042839,75
7,Wim H. Hesselink,IEEE Journal,2017,The Derivation of Systolic Implementations of Programs.,Isi Mitrani,Lleida,edition 2017 IEEE Journal,135156482,55099618,34,16,76856704,33
8,Norbert Blum,UPC journal,2017,Fifo Nets Without Order Deadlock.,Isi Mitrani,Madrid,edition 2017 UPC journal,197204536,72489441,72,14,76856704,33
9,Stefan Reisch,IEEE Journal,2016,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Isi Mitrani,London,edition 2016 IEEE Journal,102773022,66832289,88,13,76856704,33
10,Christian Lengauer,UPC journal,2021,Equational weighted tree transformations.,Joseph M. Morris,Barcelona,edition 2021 UPC journal,61306966,54090262,86,16,57042839,75
11,Sergei Gorlatch,UPC journal,2021,Equational weighted tree transformations.,Joseph M. Morris,Barcelona,edition 2021 UPC journal,61306966,85975855,20,16,57042839,75
12,Carlo Montangero,UPC journal,2017,Merged processes: a new condensed representation of Petri net behaviour.,Patrick Cousot,London,edition 2017 UPC journal,94729932,82206219,35,5,93036875,47
13,X. J. Chen,UPC journal,2017,Merged processes: a new condensed representation of Petri net behaviour.,Patrick Cousot,London,edition 2017 UPC journal,94729932,87809352,43,5,93036875,47
14,Carlo Montangero,UPC journal,2018,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Joseph M. Morris,Madrid,edition 2018 UPC journal,49220009,82206219,35,12,57042839,75
15,X. J. Chen,UPC journal,2018,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Joseph M. Morris,Madrid,edition 2018 UPC journal,49220009,87809352,43,12,57042839,75
16,Alex Kondratyev,UPC journal,2019,A Three-Stage Construction for Multiconnection Networks.,Jürgen Nehmer,Barcelona,edition 2019 UPC journal,172185866,64512381,48,19,60544485,37
